country,iso2c,date,one_source_url,
"Taiwan, Province of China",TW,2010-01-19,http://www.dailytimes.com.pk/default.asp?page=2010%5C01%5C19%5Cstory_19-1-2010_pg7_40,
"Taiwan, Province of China",TW,2010-04-21,http://www.mysinchew.com/node/38011,
"Taiwan, Province of China",TW,2010-07-08,http://www.dailymail.co.uk/news/worldnews/article-1293129/Not-Mass-brawl-breaks-Taiwanese-parliament-done.html,
"Taiwan, Province of China",TW,2013-08-01,http://www.bloomberg.com/news/2013-08-02/taiwan-lawmakers-brawl-in-parliament-over-nuclear-plant-vote.html,
Thailand,TH,2009-05-15,http://www.bangkokpost.com/auto/autoscoop/16696/,
Thailand,TH,2012-05-31,http://www.YouTube.com/watch?v=ww_TybNdY8A,
Thailand,TH,2013-08-20,http://za.news.yahoo.com/thai-opposition-mps-parliament-brawl-police-151418007.html ,
Turkey,TR,1989-03-30,http://pqasb.pqarchiver.com/latimes/access/66426471.html?dids=66426471:66426471&FMT=ABS&FMTS=ABS:FT&type=current&date=Mar+30%2C+1989&author=&pub=Los+Angeles+Times+(pre-1997+Fulltext)&desc=Turkish+Lawmaker+Shot+to+Death+in+Parliament+Scuffle&pqatl=google,
Turkey,TR,2001-03-01,http://www.telegraph.co.uk/news/worldnews/europe/1320631/Turkish-MP-dies-after-brawl-in-parliament.html,
Turkey,TR,2007-09-26,http://www.26sep.net/nprint.php?lng=english&sid=28085,
Turkey,TR,2010-05-05,http://www.reuters.com/article/2010/05/07/us-turkey-constitution-vote-idUSTRE64634M20100507,
Turkey,TR,2013-04-08,http://www.hurriyetdailynews.com/turkish-parliament-speaker-condemns-deputy-fight-in-the-parliament.aspx?pageID=238&nID=50175&NewsCatID=338 ,
Turkey,TR,2014-02-15,http://www.nytimes.com/2014/02/16/world/europe/a-brawl-and-then-a-vote-to-rein-in-turkish-courts.html?partner=rss&emc=rss&smid=tw-nytimes,
Ukraine,UA,1994-10-19,http://pqasb.pqarchiver.com/baltsun/access/111944764.html?dids=111944764:111944764&FMT=ABS&FMTS=ABS:FT&type=current&date=Oct+19%2C+1994&author=&pub=The+Sun&desc=IN+THE+WORLD&pqatl=google,
Ukraine,UA,1997-05-14,http://www.nytimes.com/1997/05/14/world/a-debate-that-got-out-of-hand-in-ukraine.html,
Ukraine,UA,2002-12-12,http://nl.newsbank.com/nl-search/we/Archives?p_product=NewsLibrary&p_multi=BBAB&d_place=BBAB&p_theme=newslibrary2&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0F97EEB2274310EF&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM,
Ukraine,UA,2005-07-06,http://nl.newsbank.com/nl-search/we/Archives?p_product=NewsLibrary&p_multi=APAB&d_place=APAB&p_theme=newslibrary2&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=10B7E4FDA8925658&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM,
Ukraine,UA,2006-02-09,http://www.cbsnews.com/video/watch/?id=1305555n,
Ukraine,UA,2006-07-06,http://www.kommersant.com/page.asp?id=688311,
Ukraine,UA,2008-11-04,http://www.ffwdweekly.com/article/news-views/international/realism-in-ukraine-2883/,
Ukraine,UA,2010-04-27,http://www.businessweek.com/ap/financialnews/D9FBJLEG0.htm,
Ukraine,UA,2010-12-16,http://www.asylum.co.uk/2010/12/20/ukraine-politicians-fight-punch-up-brawl-ukrainian/,
Ukraine,UA,2012-05-24,http://rt.com/news/ukrainian-language-bill-opposition-180/,
Ukraine,UA,2012-12-12,https://www.YouTube.com/watch?v=-oP2RWFD_JY,
Ukraine,UA,2013-04-19,http://www.telegraph.co.uk/news/worldnews/europe/ukraine/9942004/Ukrainian-MPs-in-mass-brawl-after-Russian-is-spoken-in-Parliament.html,
Ukraine,UA,2014-01-16,http://www.telegraph.co.uk/news/worldnews/europe/ukraine/10578372/MPs-fight-in-Ukraine-parliament.html,
Ukraine,UA,2014-04-08,http://www.theguardian.com/world/2014/apr/08/ukraine-russia-plan-divide-country-operation,
"Venezuela, Bolivarian Republic of",VE,2003-09-25,http://www.nytimes.com/2003/09/25/world/world-briefing-americas-venezuela-scuffle-in-parliament.html,
"Venezuela, Bolivarian Republic of",VE,2004-10-05,http://infoweb.newsbank.com/iw-search/we/InfoWeb?p_product=AWNB&p_theme=aggregated5&p_action=doc&p_docid=1058F2C652A3FBAD&p_docnum=52&p_queryname=6 ,
"Venezuela, Bolivarian Republic of",VE,2011-03-11,http://news.sky.com/skynews/Home/Strange-News/VENEZUELA-Opposition-Politicians-Come-To-Blow-As-The-Nation-Tunes-In-To-Watch/Article/201102215928202?lpos=Strange_News_First_World_News_Article_Teaser_Region_4&lid=ARTICLE_15928202_VENEZUELA%3A_Opposition_Politicians_Come_To_Blow_As_The_Nation_Tunes_In_To_Watch,
"Venezuela, Bolivarian Republic of",VE,2013-04-30,http://www.bbc.co.uk/news/world-latin-america-22362760,
Yemen,YE,2013-01-17,http://www.yementimes.com/en/1643/news/1861/Parliament-brawl-draws-criticism-from-the-public.htm,
Yugoslavia,YU,2001-03-26,http://nl.newsbank.com/nl-search/we/Archives?p_product=NewsLibrary&p_multi=APAB&d_place=APAB&p_theme=newslibrary2&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0F8920004D2136C3&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM,
Zimbabwe,ZW,2004-05-18,"http://www.lexisnexis.com.ezproxy.uky.edu/lnacui2api/results/docview/docview.do?docLinkInd=true&risb=21_T18709523320&format=GNBFI&sort=DATE,A,H&startDocNo=26&resultsUrlKey=29_T18709514972&cisb=22_T18709544022&treeMax=true&treeWidth=0&csi=138211&docNo=42",
Zimbabwe,ZW,2009-07-16,http://www.newzimbabwe.com/pages/bennet2.11864.html,
Zimbabwe,ZW,2010-12-09,https://www.newsday.co.zw/2010/11/12/2010-11-12-police-called-to-stop-fight-in-parliament/,
