"Country","Year","Gini"
"Australia",1998,44.6
"Australia",1998,58.2
"Australia",1998,37.6
"Australia",1998,30.4
"Australia",1998,34.3
"Australia",1998,39
"Australia",1999,38.1
"Australia",1999,28.2
"Australia",2000,27.9
"Australia",2000,31.7
"Australia",2000,47.6
"Australia",2000,44.8
"Australia",2000,31
"Australia",2000,38.3
"Australia",2001,27.5
"Australia",2001,31.1
"Australia",2001,37.8
"Australia",2002,30.9
"Australia",2003,31.2
"Australia",2004,46.5
"Australia",2004,31.5
"Australia",2004,29.4
"Australia",2008,33.6
"Australia",2008,31.4
"Australia",2008,46.8
"Australia",2010,46.9
"Australia",2010,33.4
"Australia",2010,28.3
"Austria",1970,29.3
"Austria",1972,26.7
"Austria",1976,31.2
"Austria",1977,24.3
"Austria",1981,31.4
"Austria",1983,28
"Austria",1983,34
"Austria",1987,31.6
"Austria",1987,22.5
"Austria",1991,26.3
"Austria",1994,31.4
"Austria",1995,31.1
"Austria",1995,27
"Austria",1996,26
"Austria",1997,30.4
"Austria",1997,25
"Austria",1998,24
"Austria",1999,26
"Austria",2000,29.3
"Austria",2000,24
"Austria",2000,24
"Austria",2001,24
"Austria",2001,24
"Austria",2003,27
"Austria",2003,27.4
"Austria",2004,25.8
"Austria",2004,26.8
"Austria",2004,26.9
"Austria",2004,26
"Austria",2004,45.9
"Austria",2005,46.4
"Austria",2005,26.2
"Austria",2005,26
"Austria",2005,26
"Austria",2006,48
"Austria",2006,25.3
"Austria",2006,26.6
"Austria",2006,25
"Austria",2007,26.2
"Austria",2007,47.5
"Austria",2007,26.5
"Austria",2008,47.2
"Austria",2008,26.1
"Austria",2008,26.2
"Austria",2009,25.7
"Austria",2009,26.8
"Austria",2009,48.9
"Austria",2010,47.9
"Austria",2010,26.7
"Austria",2010,26.1
"Austria",2011,26.3
"Azerbaijan",1972,27.1
"Azerbaijan",1976,26.1
"Azerbaijan",1981,25.2
"Azerbaijan",1986,26.6
"Azerbaijan",1988,31.7
"Azerbaijan",1989,30.8
"Azerbaijan",1989,32.8
"Azerbaijan",1989,27.5
"Azerbaijan",1990,34.5
"Azerbaijan",1992,36.1
"Azerbaijan",1994,42.8
"Azerbaijan",1995,45.9
"Azerbaijan",1996,45.8
"Azerbaijan",1997,46.2
"Azerbaijan",1998,46.2
"Azerbaijan",2000,30.1
"Azerbaijan",2000,50.6
"Azerbaijan",2001,36.5
"Azerbaijan",2001,50.1
"Azerbaijan",2001,37.3
"Azerbaijan",2002,50.8
"Azerbaijan",2008,33.7
"Bahamas",1970,46.7
"Bahamas",1970,48.3
"Bahamas",1973,43.5
"Bahamas",1973,45.3
"Bahamas",1975,52.3
"Bahamas",1975,54.1
"Bahamas",1977,48.1
"Bahamas",1977,50.3
"Bahamas",1979,62.5
"Bahamas",1979,43.1
"Bahamas",1986,48.1
"Bahamas",1988,40.6
"Bahamas",1989,44.5
"Bahamas",1991,41.8
"Bahamas",1992,41.9
"Bahamas",1993,45.3
"Bahamas",2001,57.5
"Bahamas",2003,48
"Bahamas",2004,43
"Bangladesh",1959,37.1
"Bangladesh",1960,41.8
"Bangladesh",1961,45
"Bangladesh",1963,50.2
"Bangladesh",1963,35.1
"Bangladesh",1963,41
"Bangladesh",1963,33
"Bangladesh",1963,37.3
"Bangladesh",1963,36
"Bangladesh",1965,44.9
"Bangladesh",1966,34.3
"Bangladesh",1966,49.7
"Bangladesh",1967,25.4
"Bangladesh",1967,17.3
"Bangladesh",1967,34.2
"Bangladesh",1967,43.6
"Bangladesh",1967,39.9
"Bangladesh",1967,16.4
"Bangladesh",1967,33.4
"Bangladesh",1969,29
"Bangladesh",1969,42.4
"Bangladesh",1973,28
"Bangladesh",1973,36
"Bangladesh",1973,36
"Bangladesh",1973,39.2
"Bangladesh",1973,28
"Bangladesh",1973,31
"Bangladesh",1977,45
"Bangladesh",1977,36.6
"Bangladesh",1978,35.2
"Bangladesh",1981,39
"Bangladesh",1981,39
"Bangladesh",1981,37.1
"Bangladesh",1983,25.9
"Bangladesh",1983,36
"Bangladesh",1983,32.7
"Bangladesh",1984,25.9
"Bangladesh",1986,30.7
"Bangladesh",1986,25.9
"Bangladesh",1986,33.9
"Bangladesh",1986,26.9
"Bangladesh",1986,37
"Bangladesh",1988,28.9
"Bangladesh",1988,26.1
"Bangladesh",1988,30.3
"Bangladesh",1989,38
"Bangladesh",1992,28.3
"Bangladesh",1992,37
"Bangladesh",1996,43
"Bangladesh",1996,36
"Bangladesh",1996,33.6
"Bangladesh",1996,38.7
"Bangladesh",2000,33.5
"Bangladesh",2000,31.8
"Bangladesh",2005,33.2
"Bangladesh",2005,34.1
"Bangladesh",2005,42.8
"Bangladesh",2005,46.7
"Bangladesh",2005,49.7
"Bangladesh",2010,45.2
"Bangladesh",2010,43.1
"Bangladesh",2010,45.8
"Barbados",1951,41.8
"Barbados",1951,45.6
"Barbados",1952,45.5
"Barbados",1952,43.2
"Barbados",1952,45
"Barbados",1953,41.7
"Barbados",1954,53.5
"Barbados",1955,40.5
"Barbados",1957,41.1
"Barbados",1958,39.8
"Barbados",1959,41.9
"Barbados",1960,40
"Barbados",1962,39.1
"Barbados",1970,42.6
"Barbados",1970,36.9
"Barbados",1971,37.6
"Barbados",1972,34.5
"Barbados",1973,32.8
"Barbados",1976,31
"Barbados",1978,46.4
"Barbados",1978,30.8
"Barbados",1978,48.4
"Barbados",1979,35.1
"Barbados",1980,30.9
"Barbados",1981,28.9
"Barbados",2010,47
"Belarus",1981,23.4
"Belarus",1986,25.4
"Belarus",1988,24.2
"Belarus",1988,22.8
"Belarus",1989,23.4
"Belarus",1989,23.8
"Belarus",1989,22.9
"Belarus",1990,23.3
"Belarus",1992,34.1
"Belarus",1993,39.9
"Belarus",1995,25.3
"Belarus",1995,28.4
"Belarus",1995,28.6
"Belarus",1995,27.5
"Belarus",1995,31.7
"Belarus",1995,37.3
"Belarus",1996,26.9
"Belarus",1996,28.2
"Belarus",1996,24.4
"Belarus",1996,35.6
"Belarus",1996,30.8
"Belarus",1997,35.4
"Belarus",1997,24.9
"Belarus",1997,28
"Belarus",1998,35.1
"Belarus",1998,31
"Belarus",1998,27.7
"Belarus",1998,25.3
"Belarus",1998,31
"Belarus",1999,27.2
"Belarus",1999,23.5
"Belarus",1999,32
"Belarus",1999,33.7
"Belarus",2000,33.7
"Belarus",2000,24.7
"Belarus",2001,34.3
"Belarus",2001,24.5
"Belarus",2002,24.6
"Belarus",2002,34.2
"Belarus",2003,24.9
"Belarus",2003,34
"Belarus",2004,24.8
"Belarus",2004,33.8
"Belarus",2005,23.8
"Belarus",2005,32.6
"Belarus",2006,32.1
"Belarus",2006,27.9
"Belarus",2007,28.7
"Belarus",2008,27.2
"Belarus",2011,26
"Belgium",1969,36.4
"Belgium",1969,32.3
"Belgium",1973,43.8
"Belgium",1975,41.9
"Belgium",1976,41.6
"Belgium",1977,40.6
"Belgium",1979,28.3
"Belgium",1985,26
"Belgium",1985,22.5
"Belgium",1985,25.2
"Belgium",1988,23.4
"Belgium",1988,25.7
"Belgium",1988,25.7
"Belgium",1992,45.6
"Belgium",1992,25
"Belgium",1992,23.7
"Belgium",1992,32.5
"Belgium",1992,23
"Belgium",1993,30.8
"Belgium",1994,30.4
"Belgium",1995,29
"Belgium",1996,28
"Belgium",1997,26.9
"Belgium",1997,27
"Belgium",1997,26.8
"Belgium",1998,27
"Belgium",1999,29
"Belgium",2000,32.7
"Belgium",2000,32.6
"Belgium",2000,30
"Belgium",2000,30
"Belgium",2001,28
"Belgium",2001,28
"Belgium",2003,28.3
"Belgium",2003,28
"Belgium",2004,49.1
"Belgium",2004,27
"Belgium",2004,26
"Belgium",2004,26.1
"Belgium",2005,48.2
"Belgium",2005,26.9
"Belgium",2005,28
"Belgium",2005,28
"Belgium",2006,27.8
"Belgium",2006,47.7
"Belgium",2006,26.4
"Belgium",2006,28
"Belgium",2007,26.9
"Belgium",2007,26.3
"Belgium",2007,46.8
"Belgium",2008,27.5
"Belgium",2008,25.9
"Belgium",2008,47.1
"Belgium",2009,47.7
"Belgium",2009,26.4
"Belgium",2009,26.2
"Belgium",2010,26.2
"Belgium",2010,47.8
"Belgium",2010,26.6
"Belgium",2011,26.3
"Belize",1993,NA
"Belize",1993,56
"Belize",1994,58
"Belize",1994,NA
"Belize",1995,59.5
"Belize",1996,56.9
"Belize",1997,NA
"Belize",1997,55
"Belize",1998,NA
"Belize",1998,52
"Belize",1999,50
"Belize",1999,NA
"Benin",2003,36.5
"Benin",2003,38.6
"Bhutan",2003,46.8
"Bhutan",2007,38.1
"Bhutan",2012,35
"Bhutan",2012,36
"Bhutan",2012,34
"Bolivia",1968,46.2
"Bolivia",1968,53
"Bolivia",1986,51.6
"Bolivia",1989,52.5
"Bolivia",1990,54.5
"Bolivia",1991,42
"Bolivia",1992,NA
"Bolivia",1992,49.5
"Bolivia",1993,53.2
"Bolivia",1993,NA
"Bolivia",1993,51
"Bolivia",1995,52.7
"Bolivia",1996,51.1
"Bolivia",1996,59.1
"Bolivia",1996,57.8
"Bolivia",1996,58.8
"Bolivia",1996,57.6
"Bolivia",1997,51
"Bolivia",1997,NA
"Bolivia",1997,56
"Bolivia",1997,NA
"Bolivia",1997,58.9
"Bolivia",1997,58.8
"Bolivia",1999,60.1
"Bolivia",1999,57.8
"Bolivia",1999,NA
"Bolivia",1999,56
"Bolivia",1999,63
"Bolivia",1999,44.7
"Bolivia",1999,58.1
"Bolivia",1999,48.2
"Bolivia",2000,NA
"Bolivia",2000,62.2
"Bolivia",2000,53.3
"Bolivia",2001,NA
"Bolivia",2001,56
"Bolivia",2002,NA
"Bolivia",2002,58
"Bolivia",2003,53
"Bolivia",2005,56
"Bolivia",2005,NA
"Bolivia",2006,NA
"Bolivia",2006,54
"Bolivia",2007,NA
"Bolivia",2007,55
"Bolivia",2008,54
"Bosnia And Herzegowina",1991,32.9
"Bosnia And Herzegowina",2001,28
"Bosnia And Herzegowina",2001,26.2
"Bosnia And Herzegowina",2004,35.8
"Bosnia And Herzegowina",2005,35.8
"Bosnia And Herzegowina",2007,36.2
"Botswana",1971,57.4
"Botswana",1975,52
"Botswana",1986,54.2
"Botswana",1986,55.6
"Botswana",1986,47.7
"Botswana",1986,53.6
"Botswana",1994,45.1
"Botswana",1994,53.9
"Botswana",1994,41.4
"Botswana",1994,53.7
"Botswana",2003,NA
"Botswana",2003,57.3
"Brazil",1958,49.1
"Brazil",1960,52
"Brazil",1960,50.5
"Brazil",1960,53
"Brazil",1960,60
"Brazil",1960,65.4
"Brazil",1960,68.9
"Brazil",1960,54
"Brazil",1960,43
"Brazil",1960,48.5
"Brazil",1960,60.4
"Brazil",1960,42.3
"Brazil",1960,47.4
"Brazil",1960,59
"Brazil",1970,60.9
"Brazil",1970,59
"Brazil",1970,64.1
"Brazil",1970,64.7
"Brazil",1970,55.6
"Brazil",1970,59.6
"Brazil",1970,50
"Brazil",1970,57.4
"Brazil",1970,44.8
"Brazil",1970,57.7
"Brazil",1970,57.8
"Brazil",1972,61
"Brazil",1974,55.3
"Brazil",1976,60
"Brazil",1978,56
"Brazil",1979,56
"Brazil",1979,49
"Brazil",1979,58.9
"Brazil",1979,59.4
"Brazil",1980,56
"Brazil",1981,55
"Brazil",1981,57.9
"Brazil",1981,57.4
"Brazil",1982,56
"Brazil",1982,54.2
"Brazil",1983,56
"Brazil",1983,58.4
"Brazil",1983,57
"Brazil",1984,56
"Brazil",1984,57.7
"Brazil",1985,53
"Brazil",1985,58.9
"Brazil",1986,58.1
"Brazil",1986,58.7
"Brazil",1986,56
"Brazil",1987,59.2
"Brazil",1987,57
"Brazil",1988,59
"Brazil",1988,60.9
"Brazil",1989,NA
"Brazil",1989,57
"Brazil",1989,63
"Brazil",1989,63.3
"Brazil",1989,63.3
"Brazil",1989,61.8
"Brazil",1989,61
"Brazil",1989,61
"Brazil",1990,60.6
"Brazil",1990,59
"Brazil",1992,58.1
"Brazil",1992,57.8
"Brazil",1992,55.1
"Brazil",1992,53.8
"Brazil",1992,57.3
"Brazil",1993,58
"Brazil",1993,57.5
"Brazil",1993,57.8
"Brazil",1993,60.6
"Brazil",1993,59.5
"Brazil",1995,59.1
"Brazil",1995,59.9
"Brazil",1995,59.5
"Brazil",1995,NA
"Brazil",1995,53.6
"Brazil",1995,57
"Brazil",1995,58
"Brazil",1996,59.7
"Brazil",1996,56.9
"Brazil",1996,54.7
"Brazil",1996,59.5
"Brazil",1996,58
"Brazil",1996,NA
"Brazil",1996,59.1
"Brazil",1997,59.6
"Brazil",1997,59.2
"Brazil",1997,NA
"Brazil",1997,58
"Brazil",1998,NA
"Brazil",1998,59.5
"Brazil",1998,57
"Brazil",1998,59
"Brazil",1999,58.5
"Brazil",1999,57
"Brazil",1999,NA
"Brazil",2001,59.9
"Brazil",2001,NA
"Brazil",2001,57
"Brazil",2002,57
"Brazil",2002,NA
"Brazil",2003,NA
"Brazil",2003,56
"Brazil",2004,55
"Brazil",2004,55
"Brazil",2004,NA
"Brazil",2004,NA
"Brazil",2005,NA
"Brazil",2005,55
"Brazil",2006,54
"Brazil",2006,48.6
"Brazil",2006,NA
"Brazil",2007,53
"Brazil",2007,NA
"Brazil",2008,NA
"Brazil",2008,53
"Brazil",2009,52
"Brazil",2009,NA
"Brazil",2011,NA
"Brazil",2012,NA
"Bulgaria",1957,24.6
"Bulgaria",1960,24.6
"Bulgaria",1962,21.2
"Bulgaria",1963,22.5
"Bulgaria",1965,22.2
"Bulgaria",1967,22.9
"Bulgaria",1967,16
"Bulgaria",1968,15.9
"Bulgaria",1969,20.9
"Bulgaria",1969,15.9
"Bulgaria",1970,21.5
"Bulgaria",1970,18.8
"Bulgaria",1971,19.2
"Bulgaria",1971,21.3
"Bulgaria",1972,21.8
"Bulgaria",1972,18.5
"Bulgaria",1973,18.2
"Bulgaria",1973,20.2
"Bulgaria",1974,20.2
"Bulgaria",1974,17.9
"Bulgaria",1975,17.8
"Bulgaria",1975,17.5
"Bulgaria",1976,18.4
"Bulgaria",1976,17.8
"Bulgaria",1977,25
"Bulgaria",1978,26
"Bulgaria",1979,25.8
"Bulgaria",1980,25
"Bulgaria",1981,24.4
"Bulgaria",1982,24.7
"Bulgaria",1983,25
"Bulgaria",1984,23.5
"Bulgaria",1985,23.4
"Bulgaria",1986,22.6
"Bulgaria",1987,20.8
"Bulgaria",1988,22
"Bulgaria",1989,23.3
"Bulgaria",1989,20.7
"Bulgaria",1990,21.3
"Bulgaria",1990,21.2
"Bulgaria",1990,24.5
"Bulgaria",1991,26.2
"Bulgaria",1991,26.2
"Bulgaria",1992,28.9
"Bulgaria",1992,33.1
"Bulgaria",1993,25.1
"Bulgaria",1993,34.3
"Bulgaria",1993,33.5
"Bulgaria",1993,25.1
"Bulgaria",1994,37.4
"Bulgaria",1995,29.2
"Bulgaria",1995,38.4
"Bulgaria",1995,39
"Bulgaria",1996,29.1
"Bulgaria",1996,31.9
"Bulgaria",1996,35.7
"Bulgaria",1996,24.3
"Bulgaria",1997,48
"Bulgaria",1997,36.6
"Bulgaria",1997,32.1
"Bulgaria",1997,27.3
"Bulgaria",1997,34.1
"Bulgaria",1998,34.5
"Bulgaria",1999,32.6
"Bulgaria",2000,33.2
"Bulgaria",2000,25
"Bulgaria",2001,33.3
"Bulgaria",2001,26
"Bulgaria",2001,54
"Bulgaria",2001,32.1
"Bulgaria",2002,37
"Bulgaria",2002,26
"Bulgaria",2003,24
"Bulgaria",2003,35.1
"Bulgaria",2004,35.8
"Bulgaria",2004,26
"Bulgaria",2005,25
"Bulgaria",2005,33.8
"Bulgaria",2006,31
"Bulgaria",2006,31.2
"Bulgaria",2007,35.3
"Bulgaria",2007,31.9
"Bulgaria",2008,31.1
"Bulgaria",2008,35.9
"Bulgaria",2009,33.4
"Bulgaria",2010,33.2
"Bulgaria",2011,35.1
"Burkina Faso",1994,68.8
"Burkina Faso",1994,50.8
"Burkina Faso",1994,48.2
"Burkina Faso",1994,NA
"Burkina Faso",1995,39
"Burkina Faso",1998,46.7
"Burkina Faso",1998,69.6
"Burkina Faso",1998,NA
"Burkina Faso",1998,57.5
"Burkina Faso",2003,NA
"Burkina Faso",2003,39.5
"Burkina Faso",2009,39.8
"Burundi",1992,33.3
"Burundi",1992,33.3
"Burundi",1998,42.4
"Burundi",1998,42.4
"Burundi",2006,33.3
"Cambodia",1994,38.5
"Cambodia",1997,44.7
"Cambodia",1997,40.4
"Cambodia",1999,37.4
"Cambodia",2004,41.7
"Cambodia",2004,41.9
"Cambodia",2007,44.4
"Cambodia",2008,37.9
"Cambodia",2009,37.8
"Cambodia",2009,NA
"Cambodia",2010,NA
"Cambodia",2010,36
"Cambodia",2011,NA
"Cambodia",2011,NA
"Cameroon",1983,49
"Cameroon",1996,47.8
"Cameroon",1996,61
"Cameroon",2001,40.4
"Cameroon",2001,44.6
"Cameroon",2007,32.2
"Cameroon",2007,35.2
"Cameroon",2007,39
"Canada",1951,39
"Canada",1951,32.6
"Canada",1957,32
"Canada",1961,32.2
"Canada",1961,30.8
"Canada",1965,36
"Canada",1965,33.3
"Canada",1965,31.6
"Canada",1967,31.4
"Canada",1969,35.4
"Canada",1969,32.3
"Canada",1971,32.2
"Canada",1971,37.3
"Canada",1973,31.6
"Canada",1974,31
"Canada",1975,33.1
"Canada",1975,31.6
"Canada",1977,32
"Canada",1979,31
"Canada",1980,28.5
"Canada",1981,28.4
"Canada",1981,31.8
"Canada",1981,32.3
"Canada",1981,33.1
"Canada",1982,28.6
"Canada",1982,29.4
"Canada",1983,29.9
"Canada",1983,32.8
"Canada",1983,29.4
"Canada",1983,40.3
"Canada",1984,40.2
"Canada",1984,33
"Canada",1984,29.6
"Canada",1984,29.2
"Canada",1985,29.3
"Canada",1985,39.5
"Canada",1985,28.8
"Canada",1985,32.8
"Canada",1986,32.5
"Canada",1986,28.7
"Canada",1986,29.2
"Canada",1986,39.5
"Canada",1987,35.3
"Canada",1987,28.9
"Canada",1987,39.3
"Canada",1987,28.6
"Canada",1987,31.6
"Canada",1987,32.3
"Canada",1988,28.1
"Canada",1988,28.4
"Canada",1988,39.1
"Canada",1988,31.9
"Canada",1989,27.4
"Canada",1989,28.3
"Canada",1989,27.8
"Canada",1989,38.8
"Canada",1990,28.1
"Canada",1990,28.7
"Canada",1990,40.3
"Canada",1990,27.6
"Canada",1991,41.5
"Canada",1991,31
"Canada",1991,28.6
"Canada",1991,42.3
"Canada",1991,29.4
"Canada",1991,28.7
"Canada",1991,27.6
"Canada",1992,42.9
"Canada",1992,28.3
"Canada",1992,29.2
"Canada",1993,33.6
"Canada",1993,28.6
"Canada",1993,28.6
"Canada",1993,43
"Canada",1994,28.7
"Canada",1994,28.3
"Canada",1994,33.9
"Canada",1994,43.2
"Canada",1994,31.3
"Canada",1995,28.9
"Canada",1995,43
"Canada",1995,34.3
"Canada",1995,28.8
"Canada",1996,34.9
"Canada",1996,29.1
"Canada",1996,29.6
"Canada",1996,43.9
"Canada",1996,29.8
"Canada",1997,35.2
"Canada",1997,43.9
"Canada",1997,30.2
"Canada",1997,30
"Canada",1997,31.7
"Canada",1998,35.5
"Canada",1998,44.6
"Canada",1998,30.9
"Canada",1998,32.9
"Canada",1998,30
"Canada",1999,43.8
"Canada",1999,30.9
"Canada",1999,29.8
"Canada",1999,35.9
"Canada",2000,32.5
"Canada",2000,44
"Canada",2000,30.1
"Canada",2000,36.5
"Canada",2000,31.8
"Canada",2001,31.7
"Canada",2001,44.2
"Canada",2002,44.1
"Canada",2002,31.8
"Canada",2003,43.9
"Canada",2003,31.6
"Canada",2004,31.8
"Canada",2004,32.2
"Canada",2004,44.3
"Canada",2005,43.6
"Canada",2005,31.7
"Canada",2006,43.6
"Canada",2006,39.2
"Canada",2006,31.8
"Canada",2007,31.9
"Canada",2007,31.5
"Canada",2007,39.3
"Canada",2007,43.6
"Canada",2008,39.3
"Canada",2008,32.1
"Canada",2008,43.8
"Canada",2009,39.4
"Canada",2009,44.4
"Canada",2009,32
"Canada",2010,39.5
"Canada",2010,44.7
