Country,Day,Month,Year,Legislative Chamber,Numbers of Legislators Involved,Parties of Combatants,Issue Scuffle is Over,Link to source
Taiwan,6,12,1995,lower house,3 to 10,unknown,election results,"http://news.google.com/newspapers?id=jI0mAAAAIBAJ&sjid=1AoEAAAAIBAJ&pg=2426,954193&dq=taiwan+parliament+brawl+%7C+scuffle+%7C+melee&hl=en"
Taiwan,29,3,2001,lower house,2,Kuomingtan (government) and  Independent MP ,accusation of links to organised crime,http://news.bbc.co.uk/2/hi/asia-pacific/1248769.stm
Taiwan,7,5,2004,lower house,2,Democratic Progressive Party (government),legislative procedures,http://news.bbc.co.uk/2/hi/asia-pacific/3692855.stm
Taiwan,20,1,2007,lower house,10 to 20,Democratic progressive Party (government) and Opposition,bill blockade,http://www.dailytimes.com.pk/default.asp?page=2007%5C01%5C20%5Cstory_20-1-2007_pg1_10
Taiwan,8,5,2007,lower house,~30,Democratic Progressive Party (government) and Nationalist Party (opposition),policy debate - budget,http://www.reuters.com/article/2007/05/08/us-taiwan-parliament-idUSTP21135920070508
Taiwan,19,1,2010,lower house,~70,Nationalist Party (government) and opposition,policy debate - political,http://www.dailytimes.com.pk/default.asp?page=2010%5C01%5C19%5Cstory_19-1-2010_pg7_40
Taiwan,21,4,2010,lower house,10 to 20,Nationalist Party (government) and opposition,policy debate - social,http://www.mysinchew.com/node/38011
Taiwan,8,7,2010,lower house,~30,Nationalist Party (government) and opposition,policy debate - economic,http://www.dailymail.co.uk/news/worldnews/article-1293129/Not-Mass-brawl-breaks-Taiwanese-parliament-done.html
Taiwan,1,8,2013,lower house,10 to 20,Nationalist Party (government) and opposition,policy debate - nuclear,http://www.bloomberg.com/news/2013-08-02/taiwan-lawmakers-brawl-in-parliament-over-nuclear-plant-vote.html
Thailand,15,5,2009,lower house,3,Democratic Party (opposition) and Pue Thai coalition (government),legislative procedures,http://www.bangkokpost.com/auto/autoscoop/16696/
Turkey,30,3,1989,lower house,2,Mortherland Party (government) and opposition,unknown - shooting,http://pqasb.pqarchiver.com/latimes/access/66426471.html?dids=66426471:66426471&FMT=ABS&FMTS=ABS:FT&type=current&date=Mar+30%2C+1989&author=&pub=Los+Angeles+Times+(pre-1997+Fulltext)&desc=Turkish+Lawmaker+Shot+to+Death+in+Parliament+Scuffle&pqatl=google
Turkey,1,3,2001,lower house,3 to 10,"Nationalist Action Party (opposition), Democratic Left Party (government), other opposition",unknown,http://www.telegraph.co.uk/news/worldnews/europe/1320631/Turkish-MP-dies-after-brawl-in-parliament.html
Turkey,26,9,2007,lower house,~12,unknown,constitutional reform,http://www.26sep.net/nprint.php?lng=english&sid=28085
Turkey,5,5,2010,lower house,~10, Justice and Development Party (government) and Republican People's Party (opposition),constitutional reform,http://www.reuters.com/article/2010/05/07/us-turkey-constitution-vote-idUSTRE64634M20100507
Ukraine,19,10,1994,lower house,unknown ,nationalist lawmakers and others,lift on ban of communist party,http://pqasb.pqarchiver.com/baltsun/access/111944764.html?dids=111944764:111944764&FMT=ABS&FMTS=ABS:FT&type=current&date=Oct+19%2C+1994&author=&pub=The+Sun&desc=IN+THE+WORLD&pqatl=google
Ukraine,14,5,1997,lower house,unknown ,unknown,debate over regional violence,http://www.nytimes.com/1997/05/14/world/a-debate-that-got-out-of-hand-in-ukraine.html
Ukraine,12,12,2002,lower house,unknown,unknown,dismissal of central bank chief,http://nl.newsbank.com/nl-search/we/Archives?p_product=NewsLibrary&p_multi=BBAB&d_place=BBAB&p_theme=newslibrary2&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0F97EEB2274310EF&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM
Ukraine,6,7,2005,lower house,unknown ,Communist and Pro-Government Party,policy debate - economic,http://nl.newsbank.com/nl-search/we/Archives?p_product=NewsLibrary&p_multi=APAB&d_place=APAB&p_theme=newslibrary2&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=10B7E4FDA8925658&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM
Ukraine,6,7,2006,lower house,unknown ,Social coalition (government),election of house of speaker,http://www.kommersant.com/page.asp?id=688311
Ukraine,4,11,2008,lower house,20,unknown,vote on dismissal of the speaker ,http://www.ffwdweekly.com/article/news-views/international/realism-in-ukraine-2883/
Ukraine,27,4,2010,lower house,10 to 20,pro vs anti-western lawmakers,policy debate - foreign policy,http://www.businessweek.com/ap/financialnews/D9FBJLEG0.htm
Ukraine,16,12,2010,lower house,10 to 20,government and opposition,accusation of corruption,http://www.asylum.co.uk/2010/12/20/ukraine-politicians-fight-punch-up-brawl-ukrainian/
Venezuela,25,9,2003,lower house,10 to 20,government and opposition,supreme court reform,http://www.nytimes.com/2003/09/25/world/world-briefing-americas-venezuela-scuffle-in-parliament.html
Venezuela,11,3,2011,lower house,10 to 20,Socialist Party (government) and opposition,president criticism,http://news.sky.com/skynews/Home/Strange-News/VENEZUELA-Opposition-Politicians-Come-To-Blow-As-The-Nation-Tunes-In-To-Watch/Article/201102215928202?lpos=Strange_News_First_World_News_Article_Teaser_Region_4&lid=ARTICLE_15928202_VENEZUELA%3A_Opposition_Politicians_Come_To_Blow_As_The_Nation_Tunes_In_To_Watch
Venezuela,30,4,2013,lower house,10 to 20,government and opposition,parlimentary procedures and election results,http://www.bbc.co.uk/news/world-latin-america-22362760
Yugoslavia,26,3,2001,lower house,2,Defense minister and an ultranationalist leader (opposition),policy debate - judicial,http://nl.newsbank.com/nl-search/we/Archives?p_product=NewsLibrary&p_multi=APAB&d_place=APAB&p_theme=newslibrary2&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0F8920004D2136C3&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM
